date,type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
20110730,PM2.5,15,14,14,15,14,12,19,18,29,33,39,39,46,45,42,29,27,19,18,22,20,18,11,14
20110731,PM2.5,15,14,11,9,14,11,10,9,25,43,48,45,46,41,35,18,22,24,28,20,15,7,11,9
20110801,PM2.5,9,2,3,6,8,16,18,22,24,34,42,37,35,26,24,17,16,14,12,10,8,11,10,13
20110802,PM2.5,8,8,9,7,10,9,13,13,29,43,53,47,40,41,36,32,22,18,18,12,18,15,18,14
20110803,PM2.5,13,13,11,13,10,18,19,26,29,41,54,58,61,62,53,40,28,28,20,15,11,12,13,19
20110804,PM2.5,24,24,17,8,11,12,14,22,34,44,42,37,27,23,17,28,22,21,16,22,27,26,25,23
20110805,PM2.5,25,19,19,13,14,15,26,25,21,15,16,20,19,20,18,22,24,24,20,18,22,27,25,22
20110806,PM2.5,16,19,17,15,11,15,21,20,21,21,31,33,37,32,31,33,33,33,37,43,42,36,36,38
20110807,PM2.5,36,34,27,27,20,25,19,27,23,32,31,38,39,37,41,36,35,24,26,29,36,39,40,37
20110808,PM2.5,29,24,22,19,21,18,18,16,31,34,46,42,,44,39,33,26,18,17,21,19,24,21,22
20110809,PM2.5,19,14,15,13,11,9,13,20,30,27,31,21,24,22,20,21,19,27,22,24,19,22,20,19
20110810,PM2.5,15,14,13,17,13,12,4,5,16,24,38,36,33,26,22,26,22,22,18,16,18,17,16,13
20110811,PM2.5,14,12,10,6,14,9,13,9,20,26,28,29,35,39,30,18,14,14,20,22,25,22,15,15
20110812,PM2.5,11,11,9,12,11,12,10,17,21,25,33,31,36,35,40,39,24,15,12,24,22,22,21,26
20110813,PM2.5,19,8,7,6,9,9,13,14,14,20,31,27,28,27,36,32,27,33,39,43,41,37,29,24
20110814,PM2.5,19,20,12,11,7,15,20,26,27,32,44,46,39,23,29,35,44,38,36,44,36,39,27,28
20110815,PM2.5,27,20,27,,,,,29,27,36,57,,60,35,37,36,43,38,37,39,41,36,31,30
20110816,PM2.5,23,24,19,15,16,15,22,21,28,26,28,19,16,25,28,25,33,31,37,30,31,31,28,27
20110817,PM2.5,21,23,20,24,21,21,18,16,25,23,33,28,26,30,34,46,40,38,38,29,33,32,39,35
20110818,PM2.5,27,30,19,17,11,18,24,27,29,29,30,36,40,47,43,44,43,44,48,48,41,32,19,19
20110819,PM2.5,19,19,19,14,10,14,18,26,30,35,37,37,34,27,15,11,12,14,21,21,22,19,20,19
20110820,PM2.5,15,15,11,12,9,17,16,23,22,37,37,41,42,49,54,59,58,53,37,32,23,28,16,15
20110821,PM2.5,7,9,17,19,24,20,21,22,38,51,61,56,55,50,44,42,39,37,33,32,32,26,20,17
20110822,PM2.5,17,12,14,9,17,14,18,14,22,32,50,58,60,65,60,64,61,65,60,56,56,49,45,34
20110823,PM2.5,29,25,20,20,20,30,38,39,41,41,,,,48,63,64,71,64,57,51,50,53,47,31
20110824,PM2.5,24,16,16,12,14,14,16,18,32,33,33,35,39,35,48,35,32,26,25,22,15,17,16,20
20110825,PM2.5,14,7,5,4,9,9,13,18,19,19,16,15,16,13,18,14,20,17,21,21,19,18,20,19
20110826,PM2.5,15,9,8,15,15,16,14,18,21,24,22,24,16,13,5,13,16,18,14,14,18,14,6,2
20110827,PM2.5,4,12,10,8,6,6,6,8,9,15,13,12,6,5,9,9,11,12,16,16,11,17,18,18
20110828,PM2.5,10,5,5,3,6,7,9,10,15,16,17,14,12,9,6,5,6,10,13,16,15,13,15,11
20110829,PM2.5,12,3,4,3,6,8,12,20,16,17,11,13,10,14,12,15,13,13,11,4,11,13,17,14
20110830,PM2.5,7,3,3,3,6,5,14,17,24,28,38,35,27,20,18,24,22,22,20,22,24,16,16,12
